Aplicativo,Resultado Médio,Desvio Padrão,IC Inferior,IC Superior
der1der1_cudaMemPrefetchAsync.CUDA.pedrorigon.x,870.90,29.88,849.51,892.29
der1der1.CUDA.pedrorigon.x,1297.00,103.12,1223.18,1370.82
der1der1hm.CUDA.pedrorigon.x,1163.40,77.59,1107.86,1218.94
der1der1hm_unified_memory.CUDA.pedrorigon.x,821.00,73.91,768.09,873.91
der1der1lm.CUDA.pedrorigon.x,1168.20,87.07,1105.87,1230.53
der1der1lm_unified_memory.CUDA.pedrorigon.x,0,0,0,0
der1der1_unified_memory.CUDA.pedrorigon.x,891.80,10.89,884.01,899.59
original.CUDA.pedrorigon.x,1481.00,55.19,1441.50,1520.50
original_unified_memory.CUDA.pedrorigon.x,915.50,40.42,886.57,944.43
